theta,i_r
50,70.3
60,30.4
70,4.8
80,8.1
90,37.0
100,78.2
110,113.9
120,124.7
130,107.7
140,71.3
150,29.0
160,4.8
170,7.7
180,36.1
190,77.5
200,113.0
210,126.2
220,110.6
230,72.0
240,30.9
250,5.5
260,7.1
270,34.8
280,75.7
290,110.8
300,123.3
310,108.4
