theta,i_r
60,2.87
70,9.3
80,40.6
85,71.8
75,21
70,10.7
65,5.1
55,2.1
50,2.37
45,3.1
40,4
35,4.9
30,5.7
25,6.4
20,7
15,7.4
10,7.5
5,7.4
78,34.8
83,64
81,54.3
