theta,i_r
230,215
220,202
210,179
200,129
190,115
180,77
170,46
160,20
150,5
145,3
143,3
140,4
135,8
130,15
120,34
110,54
100,112
90,150
80,179
70,210
60,208
50,196
55,209
65,213
75,190
85,158
95,126
105,81
115,46
125,24
135,7
145,3
155,11
165,30
175,56
185,92
195,122
205,146
215,183
225,208
235,220
240,216
