theta,i_r
240,3
235,3
230,5
225,8
220,13
215,17
210,23
205,28
200,30
195,28
190,31
185,31
180,28
175,23
170,16
165,10
160,6
155,3
150,2
145,3
140,5
135,10
130,14
125,21
120,25
115,27
110,31
105,36
100,37
95,35
90,32
85,24
80,18
250,9
260,19
265,24
270,30
275,35
280,38
285,39
290,37
295,33
300,30
305,23
